"Nearest Building","X","Y","Latitude","Longitude","Site ID","Species","DBH","Multi-stem","Arbor Day / Tree Campus USA","Donor","Donor Tree","State Champion Tree","Tree Trail"
"Acid Rain Field Building",1012339.16417252,1245753.24618669,40.0873725169,-88.2329426938,10167,"elm, hybrid (Ulmus x)",5,"No"," ",,"N/A"," ","N/A"
"Acid Rain Field Building",1012290.22086223,1245751.071297,40.087366698,-88.2331176256,10177,"elm, hybrid (Ulmus x)",4,"No"," ",,"N/A"," ","N/A"
"Acid Rain Field Building",1012240.92127576,1245750.30924613,40.0873647584,-88.2332938251,10186,"elm, hybrid (Ulmus x)",4,"No"," ",,"N/A"," ","N/A"
"Acid Rain Field Building",1012189.49123347,1245751.66461668,40.0873686377,-88.2334776303,10189,"elm, hybrid (Ulmus x)",6,"No"," ",,"N/A"," ","N/A"
"Acid Rain Field Building",1012140.19402036,1245748.78305302,40.0873608792,-88.2336538297,10203,"elm, hybrid (Ulmus x)",6,"No"," ",,"N/A"," ","N/A"
"Acid Rain Field Building",1012453.76422363,1246055.89799901,40.088202976,-88.2325318885,13277,"oak, pin (Quercus palustris)",40,"No"," ",,"N/A"," ","N/A"
"Acid Rain Field Building",1012452.91711852,1246060.09225716,40.0882144924,-88.2325348991,13286,"mulberry, white (Morus alba)",4,"Yes"," ",,"N/A"," ","N/A"
"Acid Rain Field Building",1012452.50782424,1246049.60374752,40.0881857015,-88.2325364044,13293,"mulberry, white (Morus alba)",6,"Yes"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010528.9445752,1250441.45966046,40.1002476296,-88.2393947152,6127,"oak, northern red (Quercus rubra)",8,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010937.07089122,1250439.12043999,40.1002400158,-88.2379358082,6449,"maple, sugar (Acer saccharum)",22,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010982.46011061,1250440.22881927,40.1002429247,-88.2377735525,6460,"maple, red (Acer rubrum)",2,"No","No ",,"N/A","No ","N/A"
"Activities & Recreation Center",1011026.43011744,1250442.04219351,40.1002477729,-88.2376163674,6473,"maple, sugar (Acer saccharum)",18,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011109.81733501,1250392.68125933,40.1001120249,-88.2373184763,6478,"pine, eastern white (Pinus strobus)",10,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011508.77536208,1250922.20338702,40.1015644313,-88.2358902632,6515,"oak, northern red (Quercus rubra)",28,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011548.49038047,1250922.95335239,40.1015663705,-88.2357482895,6526,"oak, northern red (Quercus rubra)",30,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011588.20772507,1250921.58410596,40.1015624921,-88.2356063159,6537,"oak, northern red (Quercus rubra)",22,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011627.92118784,1250923.74704824,40.1015683097,-88.2354643422,6546,"oak, northern red (Quercus rubra)",23,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011667.28470896,1250921.67111282,40.1015624921,-88.2353236362,6562,"oak, northern red (Quercus rubra)",28,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011708.77120227,1250923.83613787,40.1015683097,-88.2351753244,6570,"oak, northern red (Quercus rubra)",24,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011747.42278739,1250924.23203968,40.1015692794,-88.2350371536,6580,"oak, northern red (Quercus rubra)",28,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011789.26464609,1250925.69116564,40.1015731578,-88.2348875742,6591,"oak, northern red (Quercus rubra)",22,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011827.20623396,1250926.792826,40.1015760666,-88.2347519386,6601,"oak, northern red (Quercus rubra)",28,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010712.93619846,1250526.85682781,40.1004815192,-88.2387366816,7007,"Stump, (Stump)",9,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010711.9776141,1250487.49342727,40.100373465,-88.2387402579,7016,"maple, sugar (Acer saccharum)",22,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010630.92676533,1250501.35859785,40.1004117627,-88.2390299357,7024,"oak, shingle (Quercus imbricaria)",12,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010714.51741066,1250451.12324017,40.1002736173,-88.2387313172,7030,"maple, sugar (Acer saccharum)",19,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010658.96089497,1250480.95974432,40.1003556839,-88.2389298002,7034,"oak, northern red (Quercus rubra)",4,"No","No ",,"N/A","No ","N/A"
"Activities & Recreation Center",1010714.56510281,1250406.27993156,40.1001505173,-88.2387313172,7040,"maple, sugar (Acer saccharum)",7,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010715.60847577,1250365.92194928,40.1000397271,-88.2387277409,7049,"maple, sugar (Acer saccharum)",16,"No","No ",,"N/A","No ","N/A"
"Activities & Recreation Center",1010660.07186399,1250376.82467948,40.1000698182,-88.2389262239,7056,"elm, Chinese (Ulmus parvifolia)",34,"No"," ",,"N/A"," ","N/A"
